Laois;EI2BB,EI2DB,EI3GO,EI3JQ,EI5GLB,EI5HIB,EI6EQ,EI7CN,EI8GH,EI8KI
Leitrim;EI2SBC,EI4DH,EI4KF,EI5KB,EI5DDB,EI6IB,EI6HYB,EI7JB,EI8IU,EI9DZ,EI9KK,EI9KK,EI7CS
Limerick;EI0DC,EI0DJ,EI1UN,EI2AW,EI2FA,EI2GT,EI2HN,EI2IQ,EI2IX,EI2AMB,EI2BWB,EI2GBB,EI2IHE,EI2TRC,EI3EA,EI3FX,EI3JA,EI3JF,EI3JK,EI3COB,EI3DQB,EI4BK,EI4EY,EI4IU,EI4JD,EI4JT,EI4FMB,EI4GEB,EI4GJB,EI4HHB,EI4LRC,EI5DK,EI5HP,EI5AZB,EI5DLB,EI5EXB,EI5FOB,EI5HJB,EI6CE,EI6DU,EI6GQ,EI6IW,EI6KI,EI6GNB,EI6HOB,EI7JP,EI7KI,EI7FHB,EI8FC,EI8KK,EI8GRB,EI8GZB,EI9AL,EI9BX,EI9CI,EI9CS,EI9DR,EI9IL,EI9IY,EI9DHB,EI9EYB,EI9FEB,EI9IY,EI9EYB,EI9FEB
Longford;EI2ET,EI2FD,EI3EH,EI3GD,EI3DYB,EI3GTB,EI4ED,EI5GUB,EI7KK,EI7GBB,EI8EN,EI9O,EI9DL,EI9EMB,EI9FQB,EI9FQB
Louth;EI0CP,EI2AH,EI2CN,EI2HX,EI2JD,EI2KC,EI2KJ,EI3IM,EI3IP,EI3KE,EI3KL,EI3ETB,EI3HHB,EI4J,EI4BX,EI4CG,EI4DN,EI4GA,EI4HR,EI4HX,EI4IP,EI4KC,EI4BGB,EI5HU,EI5JG,EI5ESB,EI5HNB,EI6BY,EI6IK,EI6IL,EI6BPB,EI6GSB,EI7AF,EI7DR,EI7FX,EI7JC,EI7CEB,EI7DAR,EI7EUB,EI7HCB,EI8DA,EI8IZ,EI8KA,EI8BAB,EI8EJB,EI9CJ,EI9CP,EI9DK,EI9EH,EI9FX,EI9FY,EI9IA,EI9KF,EI9DQB,EI9GMB,EI9GNB,EI9GTB,EI9KF,EI9DQB,EI9GMB,EI9GTB
Mayo;EI0M,EI0DB,EI1GHZ,EI2IH,EI2JY,EI2KE,EI2FDB,EI2GCB,EI2HAB,EI2MRG,EI3Y,EI3BW,EI3EP,EI3IX,EI3JM,EI3GYB,EI3HNB,EI4DZ,EI4JO,EI4JW,EI5DR,EI5GT,EI5IS,EI5IW,EI5IX,EI6AG,EI6IM,EI6IR,EI6IZ,EI6JG,EI6FDB,EI6FJB,EI6FYB,EI6FZB,EI6GYB,EI7AK,EI7CR,EI7HX,EI7IQ,EI7IX,EI7FAB,EI7MRE,EI8ET,EI8EV,EI8JX,EI8JY,EI8GKB,EI9I,EI9GW,EI9JA,EI9ADB,EI9FYB,EI9GXB,EI9JA,EI9FYB
Meath;EI0CM,EI0DG,EI2CA,EI2DN,EI2EX,EI2FE,EI2GX,EI2IN,EI2AIR,EI2HCB,EI2HOT,EI2HUB,EI3DB,EI3FR,EI3KF,EI3FBB,EI3GIB,EI4CI,EI4CS,EI4CV,EI4FD,EI4IH,EI4EQB,EI4CARA,EI5ET,EI5HL,EI5HM,EI5JS,EI5DPB,EI5DSB,EI5FZB,EI5GKB,EI5HHB,EI5HUB,EI6CV,EI6DN,EI6EH,EI6GZ,EI6JF,EI6KB,EI6KF,EI6BCB,EI6BDB,EI6DJB,EI6FLB,EI6GHB,EI7CV,EI7FR,EI7IB,EI7CMB,EI7DOB,EI7ERB,EI7GEB,EI8DH,EI8GJ,EI8GU,EI8IP,EI8JB,EI8JQ,EI8KJ,EI8AAB,EI8CMB,EI8ERB,EI8FIB,EI8GXB,EI9P,EI9AD,EI9DJ,EI9ED,EI9FD,EI9HC,EI9HW,EI9IF,EI9IK,EI9CBB,EI9EIB,EI9HC,EI9HW,EI9IF,EI9IK,EI9CBB,EI9EIB
Monaghan;EI2DT,EI2GFB,EI2HKB,EI3JZ,EI3GLB,EI4HDB,EI4HSB,EI5BVB,EI6IQ,EI7JQ,EI7JT,EI9CE,EI9DA
Offaly;EI2IF,EI2FZB,EI3JD,EI5FQB,EI6DY,EI6CSB,EI8KE,EI9BZ
Roscommon;EI0B,EI3DD,EI3FA,EI3FW,EI3IG,EI3BCB,EI4IM,EI4JZ,EI4AZB,EI4DNB,EI4FCB,EI4HCB,EI5FUB,EI5GBB,EI6JK,EI6GGB,EI7HZ,EI7GKB,EI8JC,EI8FNB,EI8GIB,EI9FB,EI9HX,EI9JB,EI9JY,EI9HX,EI9JB,EI9JY
