;26;Iarmolyntsi district;HM-26
IF;;UR5S — IVANO-FRANKIVS'K REGION;
;01;Ivano-Frankivs'k ;IF-01
;02;Bohorodchany district;IF-02
;03;Bolekhiv ;IF-03
;05;Verkhovyna district;IF-05
;06;Halych district;IF-06
;07;Horodenka district;IF-07
;08;Dolyna district;IF-08
;09;Kalush ;IF-09
;10;Lalysh district;IF-10
;11;Kolomyia ;IF-11
;12;Kolomyia district;IF-12
;13;Kosiv district;IF-13
;14;Nadvirna district;IF-14
;15;Rohatyn district;IF-15
;16;Rozhniativ district;IF-16
;17;Sniatyn district;IF-17
;18;Tysmenytsia district;IF-18
;19;Tlumach district;IF-19
;20;Iaremcha ;IF-20
KI;;UR5V — KIROVOHRAD REGION;
;01;Kirovohrad, Kirovs'kyi district;KI-01
;02;Kirovohrad, Lenins'kyi district;KI-02
;03;Oleksandriia ;KI-03
;04;Oleksandriia district;KI-04
;05;Oleksandrivka district;KI-05
;06;Bobrynets' district;KI-06
;07;Haivoron district;KI-07
;08;Holovanivs'k district;KI-08
;09;Dobrovelychkivka district;KI-09
;10;Dolyns'ka district;KI-10
;11;Znamianka ;KI-11
;12;Znamianka district;KI-12
;13;Kirovohrad district;KI-13
;14;Kompaniyivka district;KI-14
;15;Mala Vyska district;KI-15
;16;Novhorodka district;KI-16
;17;Novoarkhanhel's'k district;KI-17
;18;Novomyrhorod district;KI-18
;19;Novoukrayinka district;KI-19
;20;Vil'shanka district;KI-20
;21;Onufriyivka district;KI-21
;22;Petrove district;KI-22
;23;Svitlovods'k ;KI-23
;24;Svitlovods'k district;KI-24
;25;Ul'ianovka district;KI-25
;26;Ustyninka district;KI-26
KO;;UR5U — KYIV REGION;
;01;Bila Tserkva;KO-01
;02;Baryshivka district;KO-02
;03;Bila Tserkva district;KO-03
;04;Berzan' district;KO-04
;05;Bohuslav district;KO-05
;06;Boryspil' ;KO-06
;07;Boryspil' district;KO-07
;08;Borodianka district;KO-08
;09;Brovary ;KO-09
;10;Brovary district;KO-10
;11;Vasyl'kiv ;KO-11
;12;Vasyl'kiv district;KO-12
;13;Vyshhorod district;KO-13
;14;Volodarka district;KO-14
;15;Zhurivka district;KO-15
;16;Ivankiv district;KO-16
;17;Irpin' ;KO-17
;18;Kaharlyk district;KO-18
;19;Kyivo-Sviatoshyns'ky district;KO-19
;20;Makariv district;KO-20
;21;Myronivka district;KO-21
;22;Obukhiv district;KO-22
;23;Pereiaslav-Khmel'nyts'kyi ;KO-23
;24;Pereiaslav-Khmel'nyts'kyi district;KO-24
;25;Polis'ke district;KO-25
;26;Chernobyls'kyi district;КО-26
;27;Rokytne district;KO-27
;28;Rzhyshchiv ;KO-28
;29;Skvyra district;KO-29
;30;Stavyshche district;KO-30
;31;Tarashcha district;KO-31
;32;Tetiyiv district;KO-32
;33;Fastiv ;KO-33
;34;Fastiv district;KO-34
;35;Iahotyn district;KO-35
KR;;UU — CRIMEAN REPUBLIC;
;01;Simferopol', Zaliznychnyi district;KR-01
;02;Simferopol', Kyivs'kyi district;KR-02
;03;Simferopol', Tsentral'nyi district;KR-03
;04;Alushta ;KR-04
;05;Armians'k ;KR-05
;06;Bakhchysarai district;KR-06
;07;Bilohirs'k district;KR-07
;08;Dzhankoi ;KR-08
;09;Dzhankoi district;KR-09
;10;Ievpatoriia ;KR-10
;11;Kerch ;KR-11
;12;Kirovs'ke district;KR-12
;13;Krasnohvardiis'ke district;KR-13
;14;Krasnoperekops'k ;KR-14
;15;Krasnoperekops'k district;KR-15
;16;Lenine district;KR-16
;17;Nyzhniohirs'kyi district;KR-17
;18;Pervomais'ke district;KR-18
;19;Rozdol'ne district;KR-19
;20;Saky ;KR-20
;21;Saky district;KR-21
;22;Simferopol' district;KR-22
;23;Soviets'kyi district;KR-23
;24;Sudak ;KR-24
;25;Feodosiia ;KR-25
;26;Chornomors'ke district;KR-26
;27;Yalta ;KR-27
KV;;UR5U — KYIV CITY;
;01;Kyiv, Holosiivs'kyi district;KV-01
;02;Kyiv, Darnyts'kyi district;KV-02
;03;Kyiv. Desnians'kyi district;KV-03
;04;Kyiv, Dniprovs'kyi district;KV-04
;05;Kyiv, Obolons'kyi district;KV-05
;06;Kyiv, Pechers'kyi district;KV-06
;07;Kyiv, Podols'kyi district;KV-07
;08;Kyiv, Sviatoshyns'kyi district;KV-08
;09;Kyiv, Solomens'kyi district;KV-09
;10;Kyiv, Shevchenkivs'kyi district;KV-10
LU;;UR5M — LUHANS'K REGION;
;01;Luhans'k, Artemivs'kyi district;LU-01
;02;Luhans'k, Zhovtnevyi district;LU-02
;03;Luhans'k, Kamenobrods'kyi district;LU-03
;04;Luhans'k, Lenins'kyi district;LU-04
;05;Alchevs'k ;LU-05
;06;Antratsyt ;LU-06
;07;Antratsyt district;LU-07
;08;Bilovods'k district;LU-08
;09;Brianka ;LU-09
;10;Bilikurakyne district;LU-10
;11;Kirovs'k ;LU-11
;12;Krasnodon ;LU-12
;13;Krasnodon district;LU-13
;14;Krasny Luch;LU-14
;15;Kreminna district;LU-15
;16;Lysychans'k ;LU-16
;17;Lutuhyne district;LU-17
;18;Markivka district;LU-18
;19;Milove district;LU-19
;20;Novoajdar district;LU-20
;21;Novopskov district;LU-21
;22;Pervomais'k ;LU-22
;23;Pereval's'k district;LU-23
;24;Popasna district;LU-24
;25;Roven'ky ;LU-25
;26;Rubizhne ;LU-26
;27;Svatove district;LU-27
;28;Sverdlovs'k ;LU-28
;29;Sverdlovs'k district;LU-29
;30;Sieverodonets'k ;LU-30
;31;Slovianoserbs'k district;LU-31
;32;Stanychno-Luhans'ke district;LU-32
;33;Starobil's'k district;LU-33
;34;Stakhanov ;LU-34
;35;Troyits'ke district;LU-35
LV;;UR5W — L'VIV REGION;
;01;L'viv, Halyts'kyi district;LV-01
;02;L'viv, Zaliznychnyi district;LV-02
;03;L'viv, Lychakivs'kyi district;LV-03
;04;L'viv, Sykhivs'kyi district;LV-04
;05;L'viv, Frankivs'kyi district;LV-05
;06;L'viv, Shevchenkivs'kyi district;LV-06
;07;Boryslav ;LV-07
;08;Brody district;LV-08
;09;Bus'k district;LV-09
;10;Horodok dostrict;LV-10
;11;Drohobych ;LV-11
;12;Drohobych district;LV-12
;13;Zhydachiv district;LV-13
;14;Zhovkva district;LV-14
;15;Zolochiv district;LV-15
;16;Kamianka-Buz'ka district;LV-16
;17;Mykolayiv district;LV-17
;18;Mostys'ka district;LV-18
;19;Peremyshliany district;LV-19
;20;Pustomyty district;LV-20
;21;Radekhiv district;LV-21
;22;Sambir ;LV-22
;23;Sambir district;LV-23
;24;Skole district;LV-24
;25;Sokal' district;LV-25
;26;Staryi Sambir district;LV-26
;27;Stryi ;LV-27
;28;Stryi district;LV-28
;29;Truskavets' ;LV-29
;30;Turka district;LV-30
;31;Chervonohrad ;LV-31
;32;Iavoriv district;LV-32
;33;Morshyn ;LV-33
NI;;UR5Z — MYKOLAYIV REGION;
;01;Mykolayiv, Zavods'kyi district;NI-01
;02;Mykolayiv, Korabel'nyi district;NI-02
;03;Mykolayiv, Lenins'kyi district;NI-03
;04;Mykolayiv, Tsentral'nyi district;NI-04
;05;Arbuzynka district;NI-05
;06;Bashtanka district;NI-06
;07;Berezanka district;NI-07
