Rælingen;LA1DDA,LA1KV,LA2ATA,LA2UAA,LA2WL,LA2XCA,LA2XV,LA3EHA,LA3GMA,LA3JF,LA3YD,LA4CN,LA4NDA,LA4SO,LA4XAA,LA4XRA,LA5CHA,LA5QE,LA5UOA,LA6FAA,LA6TI,LA7BW,LA8NJ,LA8OL,LA8UH,LA9NNA,LB2JD
Enebakk;LA0CO,LA1KJ,LA1PY,LA1QG,LA3FHA,LA3SE,LA5JNA,LA5JRA,LA8RY
Lørenskog;LA1GI,LA1OMA,LA2FO,LA2JGA,LA2LMA,LA2QJA,LA2QLA,LA2RUA,LA3BJ,LA3BPA,LA3KK,LA3PEA,LA3TV,LA3UN,LA4BW,LA4CU,LA4LNA,LA4RE,LA5TOA,LA6DJA,LA6PT,LA6RNA,LA7AKA,LA8CIA,LA8SY,LA9JS,LA9ML,LA9VI,LA9YG,LB8IB
Skedsmo;LA0BX,LA0FA,LA1DFA,LA1ESA,LA1HSA,LA1IKA,LA1MY,LA1NSB,LA1OY,LA1TBA,LA1YV,LA2AP,LA2HT,LA2JH,LA2PLA,LA2RNA,LA2SMA,LA2SRK,LA2ULA,LA2WCA,LA3JE,LA3JJA,LA3LD,LA3QE,LA3UG,LA4BIA,LA4FT,LA4IKA,LA4OGA,LA4SJ,LA5ALA,LA5ARA,LA5EE,LA5IT,LA5MGA,LA6DM,LA6KEA,LA6OKA,LA6ONA,LA6TP,LA6XMA,LA7AT,LA7ELA,LA7EP,LA7FLA,LA7HLA,LA7IOA,LA7MN,LA7POA,LA7QE,LA7VN,LA7YU,LA8CL,LA8EK,LA8HGA,LA8HTA,LA8OCA,LA8QI,LA8RM,LA8RX,LA8UKA,LA8VKA,LA8ZTA,LA9CFA,LA9ISA,LA9L,LA9MW,LA9ROA,LA9ZPA,LB0B,LB1LG,LB3KB,LB7FE,LB7UC,LB7VD,LB8DG
Nittedal;LA0ED,LA1DH,LA1FDG,LA1GPA,LA1HKA,LA1VBA,LA2RMA,LA2SD,LA2XNA,LA3BL,LA3NJ,LA3OGA,LA3TU,LA3WLA,LA4GAA,LA4IM,LA4PGA,LA4UDA,LA4XN,LA4ZO,LA5ERA,LA5REA,LA6INA,LA6KNA,LA6MW,LA7GIA,LA7YG,LA8FTA,LA8IO,LA8OGA,LA8OKA,LA9FT,LA9IQ,LA9KSA,LA9OSA,LA9UTA,LA9ZO,LB2XG
Gjerdrum;LA2AR,LA2MUA,LA2NUA,LA3KHA,LA6MBA,LA7YKA,LA9JBA
Ullensaker;LA0CB,LA1ISA,LA1LMA,LA1PI,LA1SBA,LA2G,LA2ILA,LA2RS,LA3FB,LA4BX,LA5NKA,LA5PF,LA5QGA,LA6IF,LA6MEA,LA6ZBA,LA7EAA,LA7RL,LA7SOA,LA7VK,LA8JJ,LA8OW,LA9HTA,LA9OI,LA9OJA,LB2JG,LB8RE
Nes;LA1RQ,LA1XOA,LA2DLA,LA2ONA,LA2PNA,LA3FRA,LA3INA,LA3JA,LA3NMA,LA4HLA,LA4TAA,LA4UJA,LA4XIA,LA5RT,LA6IJA,LA6MI,LA6PO,LA6WBA,LA6WW,LA7NOA,LA8VTA,LA9CTA,LA9FY,LA9HOA,LA9VGA,LA9XKA,LA9ZDA,LB1JG,LB1MG,LB2FG,LB4UD,LB5FG,LB7Q
Eidsvoll;LA1DRA,LA1EPA,LA1FPA,LA1JUA,LA1ST,LA2ORA,LA2SKA,LA2TNA,LA2WNA,LA3CRA,LA4GNA,LA4HIA,LA4TRA,LA5DEA,LA5LGA,LA5NDA,LA5UH,LA5ZRA,LA6VMA,LA6YTA,LA7KP,LA7LCA,LA7OOA,LA7ROA,LA7XN,LA8LX,LA8RRA,LA8SRA,LA8WL,LA9SIA,LB1CF,LB2CG,LB8GE,LB9JE
Nannestad;LA1CU,LA1FW,LA2DFA,LA3CK,LA3EMA,LA3HHA,LA3KMA,LA3MMA,LA3OMA,LA3TKA,LA4GMA,LA5VCA,LA6PKA,LA6REA,LA6YRA,LA7SNA,LA7ZLA,LA8IJ,LA8MLA,LA8VS,LA8VY,LA8YX,LA9HO,LA9UF,LA9ZI
Hurdal;LA1NBF,LA5DFA,LA6GJA,LA6LG,LA7HHA,LA7KOA,LA7XCA,LA7ZCA,LA9BTA,LA9DTA,LA9GTA
