WOI;Oborniki
WON;Kościan
WPH;Piła
WPO;Poznań (ziemski)
WPW;Pleszew 
WPX;Poznań (grodzki)
WRW;Rawicz
WSI;Środa Wielkopolska
WSP;Słupca
WSR;Śrem
WSX;Szamotuły
WTK;Turek
WWF;Września
WWH;Wągrowiec
WWT;Wolsztyn
WZF;Złotów
ZBG;Białogard
ZCE;Police
ZCS;Choszczno
ZDP;Drawsko Pomorskie
ZGF;Gryfice
ZGL;Goleniów
ZGN;Gryfino
ZKC;Koszalin (grodzki)
ZKG;Kołobrzeg
ZKP;Kamień Pomorski
ZKZ;Koszalin (ziemski)
ZLA;Sławno
ZLL;Łobez
ZMY;Myślibórz
ZSF;Świnoujście
ZSG;Stargard Szczeciński
ZSZ;Szczecinek
ZWC;Wałcz
ZWN;Świdwin
ZYR;Pyrzyce
ZZE;Szczecin
